Media Time (seconds),Attention (%),Valence (%),Arousal (%)
15.781268,68.0,36.5,32.99999999999999
15.808359,68.0,37.0,32.99999999999999
15.837082,68.0,37.0,32.99999999999999
15.866365,68.0,37.5,32.5
15.893941,67.0,37.5,32.5
15.920811,67.0,37.5,32.5
15.949519,67.0,37.5,32.0
15.976225,67.0,38.0,32.0
16.003598,66.0,38.0,32.0
16.034839,66.0,38.0,32.0
16.062865,66.0,38.0,32.0
16.092074,65.0,38.0,31.5
16.118628,65.0,38.0,31.5
16.147149,64.0,38.0,31.5
16.174188,64.0,38.0,31.5
16.21173,64.0,38.0,31.5
16.254239,64.0,38.0,31.5
16.297812,64.0,38.0,32.0
16.333746,63.0,38.0,32.0
16.379115,64.0,37.5,32.5
16.410369,64.0,37.5,32.5
16.43823,64.0,37.5,32.5
16.467315,64.0,37.0,32.5
16.499752,65.0,37.0,32.99999999999999
16.527054,65.0,36.5,32.99999999999999
16.554346,65.0,36.0,32.99999999999999
16.580308,65.0,36.0,32.99999999999999
16.607454,65.0,35.5,32.99999999999999
16.634679,65.0,35.5,32.99999999999999
16.66305,65.0,35.5,32.99999999999999
16.690281,65.0,35.0,32.99999999999999
16.71699,65.0,35.0,32.99999999999999
16.750536,66.0,35.5,32.99999999999999
16.77825,66.0,35.5,32.99999999999999
16.809229,66.0,35.5,32.99999999999999
16.836639,66.0,35.5,32.99999999999999
16.863774,66.0,35.5,32.99999999999999
16.890408,66.0,35.5,32.99999999999999
16.919091,66.0,35.5,32.99999999999999
16.945458,66.0,35.0,32.99999999999999
16.97361,66.0,35.0,32.99999999999999
17.001834,66.0,35.0,32.99999999999999
17.028815,66.0,35.0,32.5
17.055154,65.0,35.0,32.5
17.081386,65.0,35.0,32.5
17.111409,65.0,35.0,32.5
17.137438,65.0,35.0,32.0
17.169445,65.0,35.0,32.0
17.196514,65.0,35.0,32.5
17.223052,65.0,35.5,32.5
17.266772,65.0,35.5,32.5
17.297008,65.0,35.0,32.0
17.324334,65.0,35.0,32.0
17.351434,65.0,35.5,32.0
17.378743,64.0,35.5,31.5
17.406282,64.0,35.5,31.5
17.433423,64.0,35.5,31.5
17.462076,64.0,35.5,31.5
17.490012,63.0,36.0,31.5
17.518372,63.0,36.0,31.0
17.545565,63.0,36.0,31.0
17.57155,63.0,35.5,31.0
17.599877,62.0,35.5,31.0
17.626642,62.0,35.5,31.0
17.657759,62.0,35.5,31.0
17.685646,61.0,35.5,31.0
17.712716,61.0,35.0,31.0
17.739989,61.0,35.0,30.5
17.76671,61.0,35.0,30.5
17.793926,60.0,35.0,30.5
17.819714,60.0,35.5,30.5
17.846639,60.0,35.5,30.5
17.873681,59.0,35.5,30.5
17.916779,59.0,35.5,30.0
17.946457,57.99999999999999,35.5,30.0
17.973264,57.99999999999999,35.5,30.0
18.000641,57.99999999999999,35.5,30.0
18.026828,56.99999999999999,35.0,30.0
18.053224,56.99999999999999,35.0,30.0
18.080491,56.99999999999999,34.5,30.0
18.111863,56.99999999999999,34.5,30.0
18.142308,56.99999999999999,34.5,30.5
18.169559,56.99999999999999,34.0,30.5
18.197656,56.99999999999999,33.5,30.5
18.22375,56.99999999999999,33.5,30.5
18.249919,56.99999999999999,32.99999999999999,31.0
18.277448,57.99999999999999,32.99999999999999,31.0
18.307738,57.99999999999999,32.99999999999999,31.0
18.336602,57.99999999999999,32.5,31.0
18.36297,57.99999999999999,32.5,31.0
18.391043,57.99999999999999,32.0,31.0
18.420083,57.99999999999999,32.0,31.0
18.448253,57.99999999999999,32.0,31.0
18.474413,57.99999999999999,32.0,31.0
18.504107,56.99999999999999,32.0,31.0
18.534716,56.99999999999999,32.0,30.5
18.56297,56.99999999999999,32.0,30.5
18.588595,56.99999999999999,32.0,30.5
