Media Time (seconds),Attention (%),Valence (%),Arousal (%)
18.466319,99.0,34.0,42.0
18.49454,99.0,33.5,42.5
18.524617,99.0,33.5,42.0
18.554977,99.0,33.5,42.0
18.586082,99.0,33.5,42.5
18.614557,99.0,33.5,42.0
18.642448,99.0,33.5,42.0
18.669981,99.0,33.5,41.5
18.698366,99.0,33.5,41.5
18.726643,99.0,33.5,41.5
18.755703,98.0,33.5,41.5
18.785167,98.0,33.5,41.5
18.813304,98.0,33.5,41.5
18.84155,98.0,33.5,41.5
18.868894,98.0,32.99999999999999,41.5
18.897146,98.0,32.99999999999999,41.5
18.924506,98.0,32.99999999999999,41.5
18.953149,98.0,32.99999999999999,42.0
18.982387,99.0,32.99999999999999,42.0
19.009448,99.0,32.99999999999999,42.0
19.038999,99.0,32.99999999999999,41.5
19.067068,99.0,32.99999999999999,41.5
19.099107,99.0,32.99999999999999,41.5
19.129174,99.0,32.99999999999999,42.0
19.157483,99.0,32.5,42.0
19.186801,99.0,32.5,42.0
19.215507,99.0,32.5,42.0
19.24258,99.0,32.5,42.0
19.270873,98.0,32.99999999999999,41.5
19.301449,98.0,32.99999999999999,41.0
19.329953,98.0,32.99999999999999,41.0
19.361851,98.0,32.99999999999999,41.0
19.390808,98.0,32.99999999999999,40.5
19.419206,98.0,32.99999999999999,40.5
19.449913,98.0,32.99999999999999,40.5
19.477403,98.0,32.99999999999999,40.5
19.506638,98.0,32.99999999999999,40.5
19.53316,97.0,32.99999999999999,40.0
19.562305,97.0,32.99999999999999,40.0
19.591692,97.0,33.5,39.5
19.620083,97.0,33.5,39.5
19.652597,96.0,33.5,39.0
19.682456,96.0,34.0,39.0
19.709016,96.0,34.5,38.5
19.738309,95.0,34.5,38.5
19.768826,95.0,34.5,38.5
19.799125,94.0,35.0,38.5
19.826995,94.0,35.0,38.5
19.854528,94.0,34.5,38.5
19.881371,94.0,35.0,38.5
19.908778,94.0,35.0,38.0
19.937033,94.0,35.0,38.5
19.964175,94.0,35.0,38.5
19.990893,94.0,35.0,38.5
20.02151,94.0,35.0,38.5
20.052175,94.0,35.0,39.0
20.082036,94.0,35.0,39.5
20.11134,95.0,35.0,39.5
20.14014,95.0,35.0,39.5
20.169377,95.0,35.0,39.5
20.198184,95.0,35.0,39.5
20.227069,95.0,35.0,40.0
20.255711,95.0,35.0,40.0
20.285783,96.0,35.0,40.0
20.317282,96.0,35.0,40.0
20.34496,96.0,35.0,40.5
20.37298,96.0,35.0,40.5
20.402052,96.0,35.0,40.5
20.433031,96.0,35.0,40.5
20.463483,96.0,35.0,40.5
20.49456,96.0,34.5,40.5
20.525126,96.0,34.5,41.0
20.555711,97.0,34.5,40.5
20.587082,97.0,34.5,40.5
20.616221,97.0,35.0,40.5
20.645119,97.0,35.0,41.0
20.675249,97.0,35.0,40.5
20.705749,97.0,35.0,40.5
20.734873,97.0,35.5,40.5
20.763444,97.0,35.5,40.5
20.791432,97.0,35.5,40.5
20.821073,97.0,35.0,40.5
20.851383,97.0,35.0,40.0
20.880207,97.0,35.0,40.5
20.909503,97.0,35.0,40.0
20.938829,98.0,34.5,40.5
20.972193,98.0,34.5,40.5
21.00061,98.0,34.0,40.5
21.030348,98.0,34.0,41.0
